City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.12,-134.97,74.5,80,41,15.43,PF,1605286759
1,souillac,-20.52,57.52,75.2,83,20,3.36,MU,1605286759
2,hilo,19.73,-155.09,69.8,73,75,8.05,US,1605286759
3,ancud,-41.87,-73.82,54.0,81,75,11.41,CL,1605286760
4,klaksvik,62.23,-6.59,46.4,93,58,23.04,FO,1605286760
5,sola,-13.88,167.55,81.21,83,95,10.83,VU,1605286760
6,port alfred,-33.59,26.89,75.24,73,0,19.15,ZA,1605286760
7,east london,-33.02,27.91,73.4,78,0,16.11,ZA,1605286760
8,yellowknife,62.46,-114.35,6.8,92,40,9.17,CA,1605286760
9,mangaluru,12.87,74.88,77.0,88,75,4.43,IN,1605286761
10,sinnamary,5.38,-52.95,85.03,72,44,10.25,GF,1605286761
11,avarua,-21.21,-159.78,75.2,78,71,11.41,CK,1605286761
12,ratnagiri,16.98,73.3,79.66,77,2,5.68,IN,1605286761
13,hermanus,-34.42,19.23,64.99,81,91,3.0,ZA,1605286761
14,chapais,49.78,-74.85,35.6,80,1,10.29,CA,1605286762
15,punta arenas,-53.15,-70.92,57.2,33,75,29.97,CL,1605286573
16,puerto del rosario,28.5,-13.86,71.6,83,20,2.24,ES,1605286712
17,katsuura,35.13,140.3,57.2,58,0,8.05,JP,1605286762
18,fukue,32.69,128.84,66.63,68,0,23.98,JP,1605286762
19,ushuaia,-54.8,-68.3,51.8,34,75,21.92,AR,1605286596
20,airai,-8.93,125.41,62.28,94,9,1.59,TL,1605286763
21,hobart,-42.88,147.33,55.4,93,75,4.7,AU,1605286528
22,goderich,43.75,-81.72,42.8,75,100,10.29,CA,1605286739
23,oranjemund,-28.55,16.43,62.1,83,24,6.04,NA,1605286763
24,la romana,18.43,-68.97,86.0,70,40,9.17,DO,1605286763
25,siparia,10.13,-61.5,88.0,80,27,10.0,TT,1605286763
26,hovd,48.01,91.64,32.16,80,21,7.74,MN,1605286763
27,qaanaaq,77.48,-69.36,1.6,75,92,6.98,GL,1605286763
28,puerto ayora,-0.74,-90.35,73.4,73,75,21.92,EC,1605286764
29,aksarka,66.56,67.8,-6.14,92,71,1.68,RU,1605286764
30,mar del plata,-38.0,-57.56,75.2,60,75,14.99,AR,1605286740
31,coronel oviedo,-25.42,-56.45,95.63,27,0,4.9,PY,1605286764
32,beli manastir,45.77,18.6,48.2,87,90,4.7,HR,1605286764
33,hamilton,39.18,-84.53,55.99,50,1,3.36,US,1605286764
34,zhuhai,22.28,113.57,75.0,69,40,13.87,CN,1605286708
35,wanaka,-44.7,169.15,46.26,72,33,6.22,NZ,1605286765
36,tiksi,71.69,128.87,-3.66,92,99,1.68,RU,1605286765
37,luanda,-8.84,13.23,78.53,83,64,13.56,AO,1605286620
38,ponta delgada,37.73,-25.67,64.4,72,20,8.05,PT,1605286765
39,moron,-34.65,-58.62,81.0,53,4,4.0,AR,1605286766
40,tigil,57.8,158.67,14.47,94,80,5.28,RU,1605286630
41,lakatoro,-16.1,167.42,78.21,83,47,7.05,VU,1605286766
42,elban,50.1,136.51,25.61,94,5,3.58,RU,1605286766
43,arraial do cabo,-22.97,-42.03,82.4,78,40,9.17,BR,1605286562
44,dikson,73.51,80.55,-1.57,93,53,9.6,RU,1605286767
45,bluff,-46.6,168.33,57.99,62,96,8.01,NZ,1605286767
46,olafsvik,64.89,-23.71,36.72,82,85,27.09,IS,1605286767
47,carutapera,-1.2,-46.02,87.46,62,52,10.71,BR,1605286767
48,barrow,71.29,-156.79,12.2,72,75,11.41,US,1605286767
49,mahibadhoo,3.78,72.97,82.53,77,94,11.9,MV,1605286768
50,cape town,-33.93,18.42,73.0,68,0,17.22,ZA,1605286768
51,anadyr,64.75,177.48,12.2,85,75,13.42,RU,1605286768
52,upernavik,72.79,-56.15,13.8,94,100,17.02,GL,1605286768
53,awjilah,29.11,21.29,69.53,51,86,6.26,LY,1605286768
54,mehamn,71.04,27.85,42.8,70,0,18.34,NO,1605286768
55,lapua,62.97,23.01,39.0,96,99,4.0,FI,1605286769
56,port lincoln,-34.73,135.87,53.38,78,38,6.85,AU,1605286769
57,maraba,-5.37,-49.12,93.2,56,75,4.7,BR,1605286769
58,nikolskoye,59.7,30.79,37.99,94,75,4.47,RU,1605286769
59,carnarvon,-24.87,113.63,69.8,83,40,11.41,AU,1605286769
60,chuy,-33.7,-53.46,73.9,68,75,9.01,UY,1605286769
61,butaritari,3.07,172.79,80.83,71,49,11.43,KI,1605286769
62,lebu,-37.62,-73.65,56.89,87,33,9.64,CL,1605286770
63,bethel,41.37,-73.41,45.0,93,90,3.36,US,1605286770
64,longyearbyen,78.22,15.64,33.8,59,20,32.21,SJ,1605286770
65,mataura,-46.19,168.86,57.99,62,85,8.01,NZ,1605286770
66,tabuk,17.42,121.44,73.67,89,37,2.42,PH,1605286770
67,busselton,-33.65,115.33,55.0,83,29,7.0,AU,1605286770
68,padang,-0.95,100.35,78.76,80,100,4.21,ID,1605286771
